Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable
3,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2017,1.5,149000,True
Marquis,Al-Medina,Ford,Automatic,Other,Semi Full,2010,4.6,360000,True
Edge,Riyadh,Ford,Automatic,Saudi,Full,2014,3.5,204,True
LS,Qassim,Lexus,Automatic,Saudi,Full,2008,8.0,300,True
Cherokee,Khobar,Jeep,Automatic,Saudi,Semi Full,2019,2.4,22000,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2014,4.6,164,True
Tahoe,Dammam,Chevrolet,Automatic,Other,Standard,2013,5.3,350,True
Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2019,1.5,73700,True
Suburban,Riyadh,Chevrolet,Automatic,Other,Full,2015,5.3,189000,True
Pathfinder,Arar,Nissan,Automatic,Saudi,Semi Full,2016,3.5,100,True
Jetta,Jeddah,Volkswagen,Automatic,Saudi,Full,2015,2.0,295000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2021,5.3,2500,True
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2016,2.5,124000,True
Datsun,Abha,Nissan,Manual,Saudi,Full,2007,2.4,214,True
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Semi Full,2016,3.5,157,True
Thunderbird,Riyadh,Ford,Automatic,Other,Full,1965,8.0,25000,True
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2012,4.0,370000,True
Rio,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.4,125000,True
Land Cruiser,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,4.6,192,True
Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,2006,4.6,400,True
V7,Riyadh,Changan,Automatic,Saudi,Standard,2018,1.6,169000,True
LS,Tabouk,Lexus,Automatic,Saudi,Full,2015,4.6,110000,True
3,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2017,1.5,108098,True
Land Cruiser Pickup,Riyadh,Toyota,Manual,Other,Standard,2016,4.0,280000,True
Copper,Dammam,MINI,Manual,Saudi,Semi Full,2015,2.0,237000,True
Sierra,Riyadh,GMC,Automatic,Saudi,Full,2015,5.3,222000,True
Camry,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,2.4,186,True
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2018,4.0,223000,True
Aurion,Riyadh,Toyota,Automatic,Saudi,Semi Full,2013,3.5,200,True
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2012,2.7,432345,True
Datsun,Jeddah,Nissan,Manual,Saudi,Standard,2003,2.4,400000,True
Fluence,Dammam,Renault,Automatic,Saudi,Standard,2016,1.6,66000,True
C,Riyadh,Mercedes,Automatic,Other,Full,2017,7.0,40000,True
Sunny,Al-Medina,Nissan,Manual,Saudi,Standard,2006,1.4,256000,True
Land Cruiser,Tabouk,Toyota,Automatic,Saudi,Full,2014,4.6,200,True
Marquis,Jeddah,Ford,Automatic,Saudi,Semi Full,2007,4.6,300000,True
Navara,Riyadh,Nissan,Manual,Saudi,Standard,2015,2.5,185000,True
Hiace,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,128332,True
Tahoe,Al-Ahsa,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,300000,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2014,5.3,91000,True
Grand Marquis,Taef,Mercury,Automatic,Other,Full,2008,4.6,350,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2011,4.6,309000,True
Victoria,Arar,Ford,Automatic,Saudi,Full,2002,4.6,300000,True
Hilux,Qassim,Toyota,Manual,Saudi,Standard,2016,2.7,37000,True
Hilux,Aseer,Toyota,Manual,Saudi,Full,2016,1.1,42000,True
S,Al-Medina,Mercedes,Automatic,Other,Full,2006,3.5,300000,True
Sentra,Riyadh,Nissan,Automatic,Saudi,Standard,2020,1.4,13000,True
Edge,Makkah,Ford,Automatic,Other,Semi Full,2008,3.5,415000,True
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2010,5.4,274000,True
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2013,5.4,183000,True
Camry,Riyadh,Toyota,Automatic,Unknown,Standard,2016,2.5,263000,True
Corolla,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2019,1.6,38000,True
Land Cruiser,Makkah,Toyota,Automatic,Saudi,Full,2016,4.6,28000,True
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2016,2.4,79000,True
Silverado,Riyadh,Chevrolet,Automatic,Saudi,Standard,2012,5.3,98000,True
Acadia,Dammam,GMC,Automatic,Saudi,Full,2009,3.6,272000,True
EC7,Tabouk,Geely,Manual,Saudi,Standard,2014,1.8,170000,True
Innova,Riyadh,Toyota,Manual,Saudi,Standard,2010,2.7,83000,True
Edge,Riyadh,Ford,Automatic,Saudi,Full,2016,3.5,97000,True
