Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Full,2016,4.0,15000,True
Camry,Makkah,Toyota,Automatic,Saudi,Full,2019,2.5,8000,True
Rio,Riyadh,Kia,Automatic,Saudi,Semi Full,2013,1.4,235000,True
Tahoe,Hafar Al-Batin,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,300000,True
LX,Riyadh,Lexus,Automatic,Saudi,Full,2004,4.7,390,True
G,Qassim,Mercedes,Automatic,Saudi,Full,2016,4.0,150000,True
CRV,Riyadh,Honda,Automatic,Saudi,Semi Full,2004,2.4,331809,True
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,88000,True
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2013,4.5,600,True
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.5,12000,True
Furniture,Qassim,Toyota,Automatic,Saudi,Semi Full,2013,2.7,320,True
Camry,Najran,Toyota,Manual,Saudi,Semi Full,2004,7.8,507,True
Corolla,Qurayyat,Toyota,Automatic,Saudi,Semi Full,2015,1.6,144000,True
Optima,Riyadh,Kia,Automatic,Saudi,Standard,2013,1.6,200,True
Taurus,Jeddah,Ford,Automatic,Other,Full,2013,3.7,267000,True
LX,Riyadh,Lexus,Automatic,Saudi,Full,2016,5.7,150000,True
Land Cruiser,Al-Jouf,Toyota,Automatic,Gulf Arabic,Full,2021,4.6,25000,True
MKX,Dammam,Lincoln,Automatic,Saudi,Full,2007,3.7,340000,True
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2012,2.7,186000,True
Yaris,Al-Ahsa,Toyota,Automatic,Saudi,Semi Full,2017,1.3,41800,True
Land Cruiser,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2016,5.7,260,True
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2020,5.7,20000,True
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2015,1.4,322000,True
Hilux,Wadi Dawasir,Toyota,Manual,Saudi,Full,2017,2.7,186,True
Sierra,Riyadh,GMC,Manual,Saudi,Standard,1979,5.3,100,True
Sonata,Qassim,Hyundai,Automatic,Other,Full,2018,1.7,85000,True
ES,Jeddah,Lexus,Automatic,Saudi,Full,2012,3.5,48000,True
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2015,2.0,300000,True
Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2015,5.6,88000,True
Sonata,Tabouk,Hyundai,Automatic,Other,Semi Full,2018,2.4,138000,True
Prado,Qassim,Toyota,Automatic,Gulf Arabic,Full,2014,4.0,165000,True
Carnival,Dammam,Kia,Automatic,Saudi,Semi Full,2016,3.3,161000,True
Explorer,Riyadh,Ford,Automatic,Saudi,Standard,2006,3.5,200000,True
RX,Riyadh,Lexus,Automatic,Saudi,Full,2016,3.5,90000,True
Datsun,Riyadh,Nissan,Manual,Saudi,Semi Full,2012,2.4,150,True
Land Cruiser Pickup,Jeddah,Toyota,Manual,Gulf Arabic,Full,2020,9.0,30000,True
E,Makkah,Mercedes,Automatic,Saudi,Full,2002,2.0,375,True
Cayenne S,Riyadh,Porsche,Automatic,Saudi,Full,2009,3.6,382000,True
Impala,Riyadh,Chevrolet,Automatic,Saudi,Standard,2019,3.6,22000,True
Rio,Al-Medina,Kia,Automatic,Saudi,Standard,2016,1.6,14000,True
Malibu,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2016,3.6,87000,True
Suburban,Makkah,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,171000,True
Maxima,Riyadh,Nissan,Automatic,Gulf Arabic,Full,2012,3.5,304000,True
CX9,Jeddah,Mazda,Automatic,Saudi,Full,2020,2.5,40000,True
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2015,2.5,191000,True
Accent,Aseer,Hyundai,Automatic,Saudi,Full,2010,1.4,224,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2021,4.6,2600,True
Soul,Taef,Kia,Automatic,Gulf Arabic,Semi Full,2017,1.5,17000,True
Camry,Jeddah,Toyota,Manual,Saudi,Standard,1998,2.5,420000,True
Hilux,Taef,Toyota,Manual,Saudi,Semi Full,2012,2.4,800000,True
Marquis,Najran,Ford,Automatic,Other,Full,2001,4.6,200000,True
L200,Al-Ahsa,Mitsubishi,Manual,Saudi,Full,2020,2.5,9000,True
Altima,Riyadh,Nissan,Automatic,Saudi,Semi Full,2018,2.5,69800,True
Land Cruiser Pickup,Al-Ahsa,Toyota,Manual,Gulf Arabic,Full,2016,4.0,282000,True
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2016,1.6,300000,True
Camry,Makkah,Toyota,Manual,Saudi,Semi Full,2003,2.4,350,True
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2015,2.5,206000,True
Ciocca,Dammam,Toyota,Automatic,Saudi,Semi Full,2011,5.7,304000,True
Suburban,Riyadh,GMC,Automatic,Saudi,Semi Full,1994,1.8,285,True
Range Rover,Jeddah,Land Rover,Automatic,Saudi,Standard,2012,8.0,149,True
Land Cruiser Pickup,Tabouk,Toyota,Manual,Gulf Arabic,Full,2014,4.0,300000,True
Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2017,2.7,264000,True
Passat,Al-Medina,Volkswagen,Automatic,Other,Semi Full,2012,2.5,300,True
Accord,Jeddah,Honda,Automatic,Saudi,Full,2014,1.4,39720,True
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2017,4.0,136000,True
LS,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2013,4.6,65000,True
Land Cruiser,Dammam,Toyota,Manual,Saudi,Standard,2011,4.0,220000,True
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2015,2.0,25700,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2020,5.7,22000,True
LS,Taef,Lexus,Automatic,Other,Full,2005,4.6,140000,True
Pathfinder,Qassim,Nissan,Automatic,Unknown,Full,2002,3.5,458312,True
Hilux,Riyadh,Toyota,Automatic,Saudi,Standard,2021,1.0,4000,True
Land Cruiser Pickup,Tabouk,Nissan,Automatic,Gulf Arabic,Full,2013,4.8,300000,True
Charger,Al-Ahsa,Dodge,Automatic,Saudi,Semi Full,2014,5.7,153000,True
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2017,5.0,10000,True
Tucson,Jazan,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,93000,True
Elantra,Aseer,Hyundai,Automatic,Saudi,Standard,2016,1.6,265,True
CX9,Makkah,Mazda,Automatic,Saudi,Full,2014,2.5,1700000,True
Aveo,Riyadh,Chevrolet,Manual,Saudi,Semi Full,2004,1.6,220000,True
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.5,53000,True
Datsun,Riyadh,Nissan,Manual,Saudi,Full,1993,2.5,600000,True
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2019,4.6,70000,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2010,5.3,450,True
LX,Aseer,Lexus,Automatic,Other,Full,2013,8.0,62000,True
Camry,Sakaka,Toyota,Automatic,Saudi,Semi Full,2015,2.5,215000,True
Accent,Aseer,Hyundai,Automatic,Saudi,Standard,2019,1.4,35000,True
CX9,Riyadh,Mazda,Automatic,Saudi,Semi Full,2008,3.6,300000,True
Rio,Jeddah,Kia,Automatic,Saudi,Semi Full,2017,1.6,124000,True
Tahoe,Taef,Chevrolet,Automatic,Saudi,Standard,2013,5.3,344,True
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Full,2018,3.5,55000,True
Land Cruiser,Al-Medina,Toyota,Manual,Other,Semi Full,1987,4.6,500000,True
The 7,Makkah,BMW,Automatic,Saudi,Full,2016,2.0,99000,True
Patrol,Jeddah,Nissan,Automatic,Saudi,Semi Full,2020,4.0,57000,True
Camry,Aseer,Toyota,Automatic,Saudi,Full,2006,4.0,263,True
Blazer,Al-Ahsa,Chevrolet,Automatic,Saudi,Full,2007,3.6,200000,True
Land Cruiser,Najran,Toyota,Automatic,Saudi,Full,2016,8.0,119000,True
Suburban,Taef,GMC,Automatic,Saudi,Full,1999,9.0,220000,True
X,Riyadh,BMW,Automatic,Gulf Arabic,Semi Full,2020,2.0,4500,True
Hilux,Jeddah,Toyota,Manual,Saudi,Full,2017,2.7,193,True
Land Cruiser,Abha,Toyota,Automatic,Other,Full,2011,4.7,382,True
Prestige,Jeddah,Genesis,Automatic,Other,Semi Full,2009,3.8,170,True
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Standard,2018,3.6,280,True
Durango,Jeddah,Dodge,Automatic,Saudi,Standard,2012,5.7,275000,True
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2014,3.0,232000,True
ML,Arar,Mercedes,Automatic,Saudi,Full,1995,9.0,300000,True
S,Riyadh,Mercedes,Automatic,Other,Full,2015,3.0,41305,True
Pajero,Al-Ahsa,Mitsubishi,Automatic,Other,Semi Full,2015,3.5,153000,True
Marquis,Jeddah,Ford,Automatic,Other,Full,2003,4.6,417000,True
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2015,2.7,300841,True
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.1,158,True
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2019,1.5,38000,True
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,305000,True
Sorento,Dammam,Kia,Automatic,Saudi,Semi Full,2014,1.6,240000,True
Datsun,Riyadh,Nissan,Automatic,Saudi,Standard,2009,1.8,440000,True
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,2002,5.7,270000,True
Sportage,Makkah,Kia,Automatic,Saudi,Full,2016,2.4,193000,True
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2020,2.7,54000,True
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2018,4.0,145,True
EC8,Dammam,Geely,Manual,Saudi,Semi Full,2014,2.5,180000,True
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2009,2.7,625538,True
Explorer,Qassim,Ford,Automatic,Other,Semi Full,2014,3.5,185000,True
Land Cruiser,Wadi Dawasir,Toyota,Automatic,Gulf Arabic,Full,2011,4.6,400,True
H1,Riyadh,Hyundai,Automatic,Gulf Arabic,Semi Full,2012,1.6,252,True
LX,Qassim,Lexus,Automatic,Saudi,Full,2015,5.7,123998,True
Envoy,Dammam,GMC,Automatic,Other,Full,2002,3.5,123456,True
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2015,3.5,143,True
Avalon,Qassim,Toyota,Automatic,Saudi,Semi Full,2007,3.5,500,True
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2009,9.0,440,True
Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2018,2.7,13000,True
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2018,3.3,94000,True
Charger,Qassim,Dodge,Automatic,Other,Full,2018,5.7,59000,True
Accord,Hafar Al-Batin,Honda,Automatic,Saudi,Full,2016,2.8,240000,True
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2019,2.4,24000,True
Sonata,Dammam,Hyundai,Automatic,Saudi,Full,2013,2.5,286000,True
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2014,5.0,125000,True
LX,Riyadh,Lexus,Automatic,Other,Full,2020,5.7,68000,True
H1,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,2.4,32000,True
S,Dammam,Mercedes,Automatic,Other,Semi Full,2007,4.0,195657,True
FJ,Qassim,Toyota,Automatic,Unknown,Full,2013,4.0,228000,True
Tahoe,Jubail,Chevrolet,Automatic,Saudi,Full,2008,5.3,515984,True
Suburban,Qassim,GMC,Automatic,Unknown,Semi Full,2000,5.3,205058,True
Focus,Dammam,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,107000,True
6,Dammam,Mazda,Automatic,Saudi,Standard,2018,2.5,130000,True
Land Cruiser 70,Aseer,Toyota,Manual,Gulf Arabic,Full,2016,4.5,127430,True
Optra,Makkah,Chevrolet,Automatic,Saudi,Semi Full,2008,1.6,250000,True
Cressida,Al-Namas,Toyota,Manual,Gulf Arabic,Semi Full,1995,2.4,585000,True
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2013,2.5,185000,True
Elantra,Taef,Hyundai,Automatic,Saudi,Standard,2016,2.0,230000,True
S,Makkah,Mercedes,Automatic,Gulf Arabic,Full,2014,4.7,102000,True
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2016,3.6,16000,True
L200,Al-Baha,Mitsubishi,Manual,Saudi,Semi Full,1992,2.0,219,True
Range Rover,Abha,Land Rover,Automatic,Other,Full,2006,4.0,335000,True
Datsun,Makkah,Nissan,Manual,Saudi,Full,2015,2.7,82000,True
Azera,Al-Medina,Hyundai,Automatic,Saudi,Semi Full,2013,1.6,300,True
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2016,5.3,122000,True
Land Cruiser,Makkah,Toyota,Automatic,Saudi,Semi Full,2003,4.6,600,True
VTC,Dammam,Nissan,Automatic,Saudi,Full,2019,4.5,62000,True
Durango,Riyadh,Dodge,Automatic,Saudi,Semi Full,2013,5.7,340000,True
Grand Cherokee,Al-Medina,Jeep,Automatic,Saudi,Full,2013,8.0,170000,True
Camry,Riyadh,Toyota,Automatic,Other,Full,2015,4.0,130,True
Yukon,Taef,GMC,Automatic,Saudi,Full,2008,6.2,255,True
Yaris,Jazan,Toyota,Manual,Saudi,Standard,2015,1.3,152000,True
Yukon,Jeddah,GMC,Automatic,Saudi,Full,2006,5.3,257274,True
Innova,Dammam,Toyota,Automatic,Saudi,Full,2015,2.7,214000,True
Echo Sport,Riyadh,Ford,Automatic,Saudi,Standard,2015,1.5,126700,True
Corolla,Riyadh,Toyota,Automatic,Saudi,Full,2020,1.6,60000,True
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2014,2.0,173000,True
S,Dammam,Mercedes,Automatic,Other,Full,2007,4.0,146000,True
VTC,Al-Ahsa,Nissan,Automatic,Saudi,Standard,2007,4.8,430550,True
Prado,Hafar Al-Batin,Toyota,Automatic,Saudi,Semi Full,2017,4.0,223000,True
Acadia,Jeddah,GMC,Automatic,Saudi,Semi Full,2014,3.6,226000,True
Furniture,Hafar Al-Batin,Toyota,Automatic,Saudi,Full,2018,2.7,120000,True
Victoria,Riyadh,Ford,Automatic,Other,Full,2011,5.0,300000,True
Tahoe,Jeddah,Chevrolet,Automatic,Other,Full,2016,4.0,208000,True
Expedition,Al-Jouf,Ford,Automatic,Other,Full,2006,5.4,341,True
The 7,Jeddah,BMW,Automatic,Saudi,Full,2003,2.0,300,True
Durango,Al-Medina,Dodge,Automatic,Saudi,Standard,2019,5.7,55000,True
Rav4,Riyadh,Toyota,Automatic,Other,Standard,2015,2.5,126,True
Hilux,Abha,Toyota,Manual,Saudi,Semi Full,2006,2.7,500,True
Ranger,Qassim,Ford,Automatic,Saudi,Semi Full,2019,3.2,5064,True
Rio,Khobar,Kia,Automatic,Saudi,Full,2015,1.4,117000,True
Yukon,Al-Medina,GMC,Automatic,Saudi,Standard,2015,4.0,124000,True
FJ,Riyadh,Toyota,Manual,Other,Standard,2011,4.0,287,True
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2016,2.7,260000,True
Corolla,Tabouk,Toyota,Automatic,Saudi,Semi Full,2013,1.6,217562,True
Cayenne S,Riyadh,Porsche,Automatic,Gulf Arabic,Full,2008,4.8,172000,True
Pajero,Al-Ahsa,Mitsubishi,Automatic,Saudi,Standard,2015,3.8,280000,True
Camry,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,2.5,135,True
Caprice,Yanbu,Chevrolet,Automatic,Saudi,Standard,2009,6.0,270000,True
LS,Riyadh,Lexus,Automatic,Saudi,Full,2008,4.6,280,True
Flex,Riyadh,Ford,Automatic,Saudi,Semi Full,2013,3.5,190000,True
H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,2.0,50500,True
G,Riyadh,INFINITI,Automatic,Saudi,Full,2007,6.0,200000,True
Yukon,Hail,GMC,Automatic,Saudi,Full,2010,6.2,556000,True
Tahoe,Jubail,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,237,True
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,91000,True
Land Cruiser Pickup,Qassim,Toyota,Manual,Gulf Arabic,Semi Full,2012,4.0,300,True
Yukon,Taef,GMC,Automatic,Saudi,Semi Full,2014,5.3,49000,True
Camry,Dammam,Toyota,Automatic,Saudi,Full,2015,2.5,297,True
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Standard,2007,5.3,368000,True
Other,Riyadh,Other,Automatic,Saudi,Full,2009,2.4,218000,True
Rush,Riyadh,Toyota,Automatic,Saudi,Full,2019,1.5,69000,True
Suburban,Taef,GMC,Automatic,Saudi,Standard,2001,1.5,718314,True
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2015,5.3,132800,True
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,106000,True
Maxima,Jeddah,Nissan,Manual,Saudi,Standard,2002,3.0,265000,True
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Full,2008,5.3,500000,True
Ranger,Riyadh,Ford,Manual,Saudi,Semi Full,2016,2.5,121800,True
Suburban,Dammam,Chevrolet,Automatic,Saudi,Semi Full,1997,1.5,2149656,True
Echo,Riyadh,Toyota,Manual,Saudi,Standard,2004,1.6,400000,True
Land Cruiser,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2007,4.6,10000,True
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Standard,2012,3.6,217,True
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,82000,True
Koranado,Riyadh,SsangYong,Automatic,Gulf Arabic,Semi Full,2013,2.0,157,True
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2019,1.5,89300,True
Hiace,Al-Ahsa,Toyota,Manual,Saudi,Standard,2010,2.7,300,True
LX,Qassim,Lexus,Automatic,Saudi,Full,2021,5.7,457,True
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2020,2.4,52000,True
Camry,Jubail,Toyota,Automatic,Saudi,Full,2016,2.5,317250,True
Symbol,Riyadh,Renault,Automatic,Other,Standard,2017,1.6,48000,True
Yukon,Najran,GMC,Automatic,Saudi,Standard,2014,5.3,256000,True
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2016,3.5,135,True
Grand Marquis,Qurayyat,Mercury,Automatic,Saudi,Semi Full,2005,4.6,360,True
Crown,Dammam,Toyota,Manual,Saudi,Standard,1990,2.8,187000,True
Wrangler,Makkah,Jeep,Automatic,Saudi,Full,2016,3.6,172000,True
Accent,Jubail,Hyundai,Automatic,Unknown,Standard,2018,1.4,143000,True
ِACTIS V80,Riyadh,FAW,Manual,Saudi,Standard,2016,2.0,92000,True
Explorer,Aseer,Ford,Automatic,Saudi,Standard,2010,6.0,389160,True
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Semi Full,2014,5.0,59934,True
Sentra,Al-Medina,Nissan,Automatic,Saudi,Semi Full,2020,1.6,96000,True
The 7,Qassim,BMW,Automatic,Saudi,Standard,2010,2.0,290,True
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2013,5.3,111500,True
Suburban,Taef,GMC,Automatic,Saudi,Semi Full,2006,4.2,129000,True
Yukon,Al-Medina,GMC,Automatic,Saudi,Standard,2014,5.3,270000,True
Land Cruiser,Jazan,Toyota,Automatic,Gulf Arabic,Full,2019,4.6,67000,True
LX,Dammam,Lexus,Automatic,Saudi,Semi Full,2010,5.7,301000,True
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Full,2019,3.5,70500,True
CLS,Riyadh,Mercedes,Automatic,Unknown,Full,2019,3.5,94000,True
Silverado,Al-Ahsa,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,170000,True
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2020,4.6,21000,True
Edge,Qassim,Ford,Automatic,Saudi,Standard,2008,3.5,380,True
Hiace,Jeddah,Toyota,Manual,Saudi,Semi Full,2012,2.7,350,True
ES,Khobar,Lexus,Automatic,Saudi,Full,2021,2.5,4000,True
Pajero,Qassim,Mitsubishi,Manual,Saudi,Semi Full,2007,3.8,300,True
GS,Jazan,Lexus,Automatic,Gulf Arabic,Full,2008,4.3,216000,True
CS95,Hail,Changan,Automatic,Saudi,Full,2021,2.0,40000,True
ES,Aseer,Lexus,Automatic,Other,Full,2013,3.5,180,True
A6,Al-Medina,Audi,Automatic,Gulf Arabic,Full,2015,2.3,120000,True
Datsun,Riyadh,Nissan,Manual,Other,Standard,2014,2.4,247,True
H1,Dammam,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,160,True
Land Cruiser 70,Hail,Toyota,Manual,Saudi,Semi Full,2018,4.0,45497,True
Suburban,Al-Ahsa,Chevrolet,Automatic,Saudi,Semi Full,1999,8.0,400000,True
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,78000,True
FJ,Dammam,Toyota,Manual,Saudi,Standard,2014,2.7,210000,True
3,Riyadh,Mazda,Automatic,Saudi,Standard,2016,1.6,217000,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2014,4.6,250000,True
Sonata,Riyadh,Hyundai,Manual,Other,Standard,2006,2.4,250,True
The 7,Makkah,BMW,Automatic,Saudi,Full,2014,2.0,138100,True
Opirus,Dammam,Kia,Automatic,Saudi,Semi Full,2008,3.8,271540,True
Altima,Dammam,Nissan,Manual,Other,Full,1994,2.5,300000,True
Dokker,Riyadh,Renault,Manual,Saudi,Standard,2019,1.6,90000,True
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2019,2.4,42000,True
Camry,Al-Medina,Toyota,Manual,Saudi,Full,2017,2.4,87000,True
Yukon,Aseer,GMC,Automatic,Saudi,Semi Full,2008,5.3,450000,True
C,Riyadh,Mercedes,Automatic,Saudi,Full,2015,2.0,110000,True
FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,2010,6.0,600000,True
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2004,2.7,237600,True
ML,Makkah,Mercedes,Automatic,Saudi,Full,2010,5.0,104000,True
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2011,5.4,212000,True
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Standard,2020,3.5,7000,True
H3,Riyadh,Hummer,Automatic,Saudi,Full,2006,3.5,450000,True
A8,Riyadh,Audi,Automatic,Other,Full,2012,3.0,68000,True
Tahoe,Makkah,Chevrolet,Automatic,Other,Semi Full,2013,1.4,378000,True
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Full,2015,4.0,186000,True
E,Makkah,Mercedes,Automatic,Saudi,Full,2017,3.0,30000,True
S,Jeddah,Mercedes,Automatic,Saudi,Full,2009,5.0,102000,True
F150,Al-Ahsa,Ford,Automatic,Other,Standard,2014,5.0,300000,True
Land Cruiser,Abha,Toyota,Manual,Gulf Arabic,Semi Full,2008,4.6,260,True
Accord,Riyadh,Honda,Automatic,Saudi,Full,2008,1.0,400000,True
Patrol,Riyadh,Nissan,Automatic,Unknown,Full,2008,4.0,44000,True
Land Cruiser,Jazan,Toyota,Automatic,Gulf Arabic,Full,2021,4.6,2000,True
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2015,3.5,199,True
H1,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2012,2.4,10700,True
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2013,5.7,216000,True
Pajero,Riyadh,Mitsubishi,Manual,Other,Standard,2003,3.5,137000,True
Other,Taef,Ford,Manual,Saudi,Standard,2015,1.0,19047,True
Optima,Hail,Kia,Automatic,Other,Semi Full,2014,2.4,170,True
Symbol,Dammam,Renault,Automatic,Saudi,Standard,2020,1.6,37600,True
Optima,Jubail,Kia,Automatic,Saudi,Semi Full,2020,2.4,69000,True
Accent,Riyadh,Hyundai,Manual,Saudi,Standard,2012,1.6,279000,True
Beetle,Qassim,Volkswagen,Automatic,Gulf Arabic,Full,2015,2.0,113,True
Elantra,Aseer,Hyundai,Manual,Gulf Arabic,Standard,2014,1.6,46000,True
Hilux,Wadi Dawasir,Toyota,Manual,Saudi,Full,2012,2.7,219520,True
Furniture,Dammam,Toyota,Automatic,Saudi,Semi Full,2014,2.7,169000,True
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2016,2.0,29000,True
A8,Dammam,Audi,Automatic,Saudi,Full,2016,6.3,62000,True
MKX,Riyadh,Lincoln,Automatic,Saudi,Full,2011,3.5,240000,True
D'max,Jeddah,Suzuki,Manual,Saudi,Standard,2013,1.1,339000,True
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Semi Full,2016,4.0,165684,True
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2003,2.5,600000,True
LX,Qassim,Lexus,Automatic,Saudi,Full,2018,5.7,100000,True
Hilux,Qassim,Toyota,Automatic,Gulf Arabic,Semi Full,2014,2.7,249000,True
Land Cruiser,Tabouk,Toyota,Automatic,Saudi,Full,2016,4.8,70000,True
Pathfinder,Riyadh,Nissan,Manual,Saudi,Standard,2002,3.3,470,True
Fusion,Dammam,Ford,Automatic,Gulf Arabic,Standard,2014,2.5,283000,True
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Standard,2007,5.3,315,True
CX9,Al-Medina,Mazda,Automatic,Saudi,Standard,2021,2.5,3800,True
Pajero,Qassim,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2017,3.2,122000,True
FJ,Riyadh,Toyota,Automatic,Saudi,Standard,2012,4.0,373000,True
Malibu,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2016,2.5,78000,True
H1,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.4,283100,True
Ranger,Riyadh,Ford,Manual,Other,Full,2015,1.5,7000,True
Land Cruiser,Aseer,Toyota,Manual,Saudi,Semi Full,2003,4.6,495000,True
Ram,Jeddah,Dodge,Automatic,Saudi,Full,2019,5.7,45000,True
Delta,Al-Ahsa,Daihatsu,Manual,Saudi,Standard,2013,3.7,100000,True
Sentra,Jeddah,Nissan,Automatic,Saudi,Standard,2020,1.6,25000,True
Echo,Jeddah,Toyota,Manual,Other,Standard,2004,1.5,488000,True
Elantra,Riyadh,Hyundai,Manual,Saudi,Standard,2001,1.6,372,True
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,5.4,50000,True
Avalon,Riyadh,Toyota,Automatic,Saudi,Full,2020,3.5,31124,True
H1,Al-Jouf,Hyundai,Manual,Gulf Arabic,Full,2015,4.5,105000,True
Furniture,Khobar,Toyota,Automatic,Saudi,Full,2014,1.5,265560,True
Ciocca,Qurayyat,Toyota,Automatic,Saudi,Standard,2016,5.7,207382,True
Cadenza,Jeddah,Kia,Automatic,Saudi,Semi Full,2015,3.3,160000,True
C300,Riyadh,Chrysler,Automatic,Saudi,Semi Full,2015,5.7,74000,True
Pajero,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.5,70000,True
E,Riyadh,Mercedes,Automatic,Other,Standard,2019,2.0,28000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2015,6.2,48000,True
Grand Cherokee,Riyadh,Jeep,Automatic,Saudi,Full,2018,3.6,61000,True
Sonata,Hail,Hyundai,Automatic,Other,Standard,2015,1.0,93647,True
ZS,Taef,MG,Automatic,Saudi,Standard,2020,1.5,9300,True
Yaris,Makkah,Toyota,Automatic,Saudi,Full,2015,1.5,163,True
